Temperature - (Celsius), Year, Statistics, Country, ISO3
3.20378, 1991, Jan Average, Netherlands, NLD
-0.5175, 1991, Feb Average, Netherlands, NLD
8.48971, 1991, Mar Average, Netherlands, NLD
8.19031, 1991, Apr Average, Netherlands, NLD
9.92419, 1991, May Average, Netherlands, NLD
12.6194, 1991, Jun Average, Netherlands, NLD
18.7741, 1991, Jul Average, Netherlands, NLD
18.1491, 1991, Aug Average, Netherlands, NLD
15.3343, 1991, Sep Average, Netherlands, NLD
10.0125, 1991, Oct Average, Netherlands, NLD
5.49811, 1991, Nov Average, Netherlands, NLD
3.86182, 1991, Dec Average, Netherlands, NLD
2.87516, 1992, Jan Average, Netherlands, NLD
4.86734, 1992, Feb Average, Netherlands, NLD
6.76368, 1992, Mar Average, Netherlands, NLD
8.46087, 1992, Apr Average, Netherlands, NLD
15.137, 1992, May Average, Netherlands, NLD
16.8811, 1992, Jun Average, Netherlands, NLD
18.2779, 1992, Jul Average, Netherlands, NLD
17.9519, 1992, Aug Average, Netherlands, NLD
14.2548, 1992, Sep Average, Netherlands, NLD
7.76376, 1992, Oct Average, Netherlands, NLD
7.43475, 1992, Nov Average, Netherlands, NLD
3.90627, 1992, Dec Average, Netherlands, NLD
4.52738, 1993, Jan Average, Netherlands, NLD
2.06536, 1993, Feb Average, Netherlands, NLD
5.78013, 1993, Mar Average, Netherlands, NLD
10.7524, 1993, Apr Average, Netherlands, NLD
14.1383, 1993, May Average, Netherlands, NLD
15.6352, 1993, Jun Average, Netherlands, NLD
16.1029, 1993, Jul Average, Netherlands, NLD
15.436, 1993, Aug Average, Netherlands, NLD
12.8851, 1993, Sep Average, Netherlands, NLD
8.89783, 1993, Oct Average, Netherlands, NLD
2.22656, 1993, Nov Average, Netherlands, NLD
5.04944, 1993, Dec Average, Netherlands, NLD
4.85185, 1994, Jan Average, Netherlands, NLD
1.55968, 1994, Feb Average, Netherlands, NLD
7.22232, 1994, Mar Average, Netherlands, NLD
8.30678, 1994, Apr Average, Netherlands, NLD
12.3112, 1994, May Average, Netherlands, NLD
15.1134, 1994, Jun Average, Netherlands, NLD
20.9665, 1994, Jul Average, Netherlands, NLD
17.7651, 1994, Aug Average, Netherlands, NLD
13.4242, 1994, Sep Average, Netherlands, NLD
9.28375, 1994, Oct Average, Netherlands, NLD
9.46295, 1994, Nov Average, Netherlands, NLD
5.70035, 1994, Dec Average, Netherlands, NLD
3.39642, 1995, Jan Average, Netherlands, NLD
6.29646, 1995, Feb Average, Netherlands, NLD
5.2692, 1995, Mar Average, Netherlands, NLD
8.68396, 1995, Apr Average, Netherlands, NLD
12.7286, 1995, May Average, Netherlands, NLD
14.2726, 1995, Jun Average, Netherlands, NLD
19.9465, 1995, Jul Average, Netherlands, NLD
19.5696, 1995, Aug Average, Netherlands, NLD
13.8432, 1995, Sep Average, Netherlands, NLD
