Temperature - (Celsius), Year, Statistics, Country, ISO3
-0.6573, 1901, Jan Average, Netherlands, NLD
-1.2231, 1901, Feb Average, Netherlands, NLD
3.62608, 1901, Mar Average, Netherlands, NLD
8.7566, 1901, Apr Average, Netherlands, NLD
12.278, 1901, May Average, Netherlands, NLD
14.9686, 1901, Jun Average, Netherlands, NLD
18.6058, 1901, Jul Average, Netherlands, NLD
16.9357, 1901, Aug Average, Netherlands, NLD
14.2305, 1901, Sep Average, Netherlands, NLD
10.2841, 1901, Oct Average, Netherlands, NLD
4.85625, 1901, Nov Average, Netherlands, NLD
3.08592, 1901, Dec Average, Netherlands, NLD
4.62503, 1902, Jan Average, Netherlands, NLD
0.08199, 1902, Feb Average, Netherlands, NLD
5.43623, 1902, Mar Average, Netherlands, NLD
8.27769, 1902, Apr Average, Netherlands, NLD
8.99337, 1902, May Average, Netherlands, NLD
15.2008, 1902, Jun Average, Netherlands, NLD
15.5424, 1902, Jul Average, Netherlands, NLD
14.924, 1902, Aug Average, Netherlands, NLD
12.8169, 1902, Sep Average, Netherlands, NLD
8.37971, 1902, Oct Average, Netherlands, NLD
3.92524, 1902, Nov Average, Netherlands, NLD
0.91841, 1902, Dec Average, Netherlands, NLD
2.79161, 1903, Jan Average, Netherlands, NLD
5.57619, 1903, Feb Average, Netherlands, NLD
7.36908, 1903, Mar Average, Netherlands, NLD
5.3025, 1903, Apr Average, Netherlands, NLD
12.777, 1903, May Average, Netherlands, NLD
14.2212, 1903, Jun Average, Netherlands, NLD
16.0591, 1903, Jul Average, Netherlands, NLD
15.478, 1903, Aug Average, Netherlands, NLD
14.306, 1903, Sep Average, Netherlands, NLD
10.9732, 1903, Oct Average, Netherlands, NLD
5.96617, 1903, Nov Average, Netherlands, NLD
1.34364, 1903, Dec Average, Netherlands, NLD
0.90483, 1904, Jan Average, Netherlands, NLD
2.9716, 1904, Feb Average, Netherlands, NLD
4.02817, 1904, Mar Average, Netherlands, NLD
9.30766, 1904, Apr Average, Netherlands, NLD
12.3557, 1904, May Average, Netherlands, NLD
14.4244, 1904, Jun Average, Netherlands, NLD
18.3097, 1904, Jul Average, Netherlands, NLD
16.5514, 1904, Aug Average, Netherlands, NLD
12.4602, 1904, Sep Average, Netherlands, NLD
9.47812, 1904, Oct Average, Netherlands, NLD
5.27043, 1904, Nov Average, Netherlands, NLD
4.73727, 1904, Dec Average, Netherlands, NLD
1.01137, 1905, Jan Average, Netherlands, NLD
3.48466, 1905, Feb Average, Netherlands, NLD
6.21517, 1905, Mar Average, Netherlands, NLD
6.50101, 1905, Apr Average, Netherlands, NLD
12.0068, 1905, May Average, Netherlands, NLD
16.7964, 1905, Jun Average, Netherlands, NLD
18.1144, 1905, Jul Average, Netherlands, NLD
16.4429, 1905, Aug Average, Netherlands, NLD
13.0997, 1905, Sep Average, Netherlands, NLD
6.34574, 1905, Oct Average, Netherlands, NLD
4.3558, 1905, Nov Average, Netherlands, NLD
3.06011, 1905, Dec Average, Netherlands, NLD
3.43132, 1906, Jan Average, Netherlands, NLD
2.48888, 1906, Feb Average, Netherlands, NLD
4.25998, 1906, Mar Average, Netherlands, NLD
7.83304, 1906, Apr Average, Netherlands, NLD
12.8085, 1906, May Average, Netherlands, NLD
14.2487, 1906, Jun Average, Netherlands, NLD
16.9975, 1906, Jul Average, Netherlands, NLD
17.2081, 1906, Aug Average, Netherlands, NLD
14.0426, 1906, Sep Average, Netherlands, NLD
11.7963, 1906, Oct Average, Netherlands, NLD
7.89928, 1906, Nov Average, Netherlands, NLD
0.92814, 1906, Dec Average, Netherlands, NLD
1.99624, 1907, Jan Average, Netherlands, NLD
0.74075, 1907, Feb Average, Netherlands, NLD
5.02278, 1907, Mar Average, Netherlands, NLD
7.4983, 1907, Apr Average, Netherlands, NLD
12.707, 1907, May Average, Netherlands, NLD
13.9278, 1907, Jun Average, Netherlands, NLD
14.3602, 1907, Jul Average, Netherlands, NLD
15.8561, 1907, Aug Average, Netherlands, NLD
14.0952, 1907, Sep Average, Netherlands, NLD
11.751, 1907, Oct Average, Netherlands, NLD
5.88918, 1907, Nov Average, Netherlands, NLD
3.87326, 1907, Dec Average, Netherlands, NLD
-0.3396, 1908, Jan Average, Netherlands, NLD
3.69161, 1908, Feb Average, Netherlands, NLD
3.90185, 1908, Mar Average, Netherlands, NLD
6.15347, 1908, Apr Average, Netherlands, NLD
13.1515, 1908, May Average, Netherlands, NLD
16.1616, 1908, Jun Average, Netherlands, NLD
16.9403, 1908, Jul Average, Netherlands, NLD
15.4014, 1908, Aug Average, Netherlands, NLD
13.6534, 1908, Sep Average, Netherlands, NLD
10.1167, 1908, Oct Average, Netherlands, NLD
4.3998, 1908, Nov Average, Netherlands, NLD
1.8924, 1908, Dec Average, Netherlands, NLD
1.01246, 1909, Jan Average, Netherlands, NLD
0.64791, 1909, Feb Average, Netherlands, NLD
3.23216, 1909, Mar Average, Netherlands, NLD
8.50136, 1909, Apr Average, Netherlands, NLD
11.3513, 1909, May Average, Netherlands, NLD
13.2395, 1909, Jun Average, Netherlands, NLD
14.9155, 1909, Jul Average, Netherlands, NLD
16.4916, 1909, Aug Average, Netherlands, NLD
13.2415, 1909, Sep Average, Netherlands, NLD
11.3968, 1909, Oct Average, Netherlands, NLD
4.48332, 1909, Nov Average, Netherlands, NLD
3.74141, 1909, Dec Average, Netherlands, NLD
3.57944, 1910, Jan Average, Netherlands, NLD
4.33743, 1910, Feb Average, Netherlands, NLD
5.64704, 1910, Mar Average, Netherlands, NLD
7.90342, 1910, Apr Average, Netherlands, NLD
12.6187, 1910, May Average, Netherlands, NLD
16.3689, 1910, Jun Average, Netherlands, NLD
15.5894, 1910, Jul Average, Netherlands, NLD
16.5585, 1910, Aug Average, Netherlands, NLD
13.6159, 1910, Sep Average, Netherlands, NLD
10.6461, 1910, Oct Average, Netherlands, NLD
3.89378, 1910, Nov Average, Netherlands, NLD
5.68147, 1910, Dec Average, Netherlands, NLD
1.59536, 1911, Jan Average, Netherlands, NLD
3.78605, 1911, Feb Average, Netherlands, NLD
5.4794, 1911, Mar Average, Netherlands, NLD
7.47725, 1911, Apr Average, Netherlands, NLD
13.91, 1911, May Average, Netherlands, NLD
14.9101, 1911, Jun Average, Netherlands, NLD
18.9344, 1911, Jul Average, Netherlands, NLD
20.0638, 1911, Aug Average, Netherlands, NLD
15.2232, 1911, Sep Average, Netherlands, NLD
10.0585, 1911, Oct Average, Netherlands, NLD
6.22933, 1911, Nov Average, Netherlands, NLD
5.63405, 1911, Dec Average, Netherlands, NLD
1.54917, 1912, Jan Average, Netherlands, NLD
4.37333, 1912, Feb Average, Netherlands, NLD
7.71767, 1912, Mar Average, Netherlands, NLD
8.40083, 1912, Apr Average, Netherlands, NLD
12.1104, 1912, May Average, Netherlands, NLD
15.2768, 1912, Jun Average, Netherlands, NLD
18.6736, 1912, Jul Average, Netherlands, NLD
14.5725, 1912, Aug Average, Netherlands, NLD
10.8183, 1912, Sep Average, Netherlands, NLD
8.27508, 1912, Oct Average, Netherlands, NLD
5.41303, 1912, Nov Average, Netherlands, NLD
6.11029, 1912, Dec Average, Netherlands, NLD
2.63593, 1913, Jan Average, Netherlands, NLD
3.84209, 1913, Feb Average, Netherlands, NLD
7.30895, 1913, Mar Average, Netherlands, NLD
8.6717, 1913, Apr Average, Netherlands, NLD
12.8894, 1913, May Average, Netherlands, NLD
14.5974, 1913, Jun Average, Netherlands, NLD
14.7542, 1913, Jul Average, Netherlands, NLD
15.6229, 1913, Aug Average, Netherlands, NLD
14.0426, 1913, Sep Average, Netherlands, NLD
11.1316, 1913, Oct Average, Netherlands, NLD
8.58605, 1913, Nov Average, Netherlands, NLD
4.64975, 1913, Dec Average, Netherlands, NLD
0.0967, 1914, Jan Average, Netherlands, NLD
5.99327, 1914, Feb Average, Netherlands, NLD
6.26478, 1914, Mar Average, Netherlands, NLD
10.3908, 1914, Apr Average, Netherlands, NLD
11.4918, 1914, May Average, Netherlands, NLD
14.3366, 1914, Jun Average, Netherlands, NLD
17.944, 1914, Jul Average, Netherlands, NLD
17.8423, 1914, Aug Average, Netherlands, NLD
13.8529, 1914, Sep Average, Netherlands, NLD
9.94956, 1914, Oct Average, Netherlands, NLD
5.38784, 1914, Nov Average, Netherlands, NLD
5.60954, 1914, Dec Average, Netherlands, NLD
3.06011, 1915, Jan Average, Netherlands, NLD
3.30554, 1915, Feb Average, Netherlands, NLD
4.17428, 1915, Mar Average, Netherlands, NLD
7.51646, 1915, Apr Average, Netherlands, NLD
12.5996, 1915, May Average, Netherlands, NLD
