Temperature - (Celsius), Year, Statistics, Country, ISO3
2.8468, 1931, Jan Average, Netherlands, NLD
1.55285, 1931, Feb Average, Netherlands, NLD
3.04039, 1931, Mar Average, Netherlands, NLD
7.12988, 1931, Apr Average, Netherlands, NLD
13.6581, 1931, May Average, Netherlands, NLD
15.3783, 1931, Jun Average, Netherlands, NLD
16.7613, 1931, Jul Average, Netherlands, NLD
15.9035, 1931, Aug Average, Netherlands, NLD
11.7442, 1931, Sep Average, Netherlands, NLD
9.2017, 1931, Oct Average, Netherlands, NLD
6.95506, 1931, Nov Average, Netherlands, NLD
3.51582, 1931, Dec Average, Netherlands, NLD
4.44157, 1932, Jan Average, Netherlands, NLD
1.56051, 1932, Feb Average, Netherlands, NLD
3.59174, 1932, Mar Average, Netherlands, NLD
7.21436, 1932, Apr Average, Netherlands, NLD
12.2134, 1932, May Average, Netherlands, NLD
14.8779, 1932, Jun Average, Netherlands, NLD
17.6765, 1932, Jul Average, Netherlands, NLD
19.1663, 1932, Aug Average, Netherlands, NLD
15.0377, 1932, Sep Average, Netherlands, NLD
9.50391, 1932, Oct Average, Netherlands, NLD
5.76442, 1932, Nov Average, Netherlands, NLD
4.04044, 1932, Dec Average, Netherlands, NLD
0.4746, 1933, Jan Average, Netherlands, NLD
2.83485, 1933, Feb Average, Netherlands, NLD
7.03576, 1933, Mar Average, Netherlands, NLD
8.44515, 1933, Apr Average, Netherlands, NLD
12.1723, 1933, May Average, Netherlands, NLD
15.3494, 1933, Jun Average, Netherlands, NLD
18.2245, 1933, Jul Average, Netherlands, NLD
17.9956, 1933, Aug Average, Netherlands, NLD
15.126, 1933, Sep Average, Netherlands, NLD
10.3641, 1933, Oct Average, Netherlands, NLD
4.35451, 1933, Nov Average, Netherlands, NLD
-1.3249, 1933, Dec Average, Netherlands, NLD
2.48569, 1934, Jan Average, Netherlands, NLD
3.2253, 1934, Feb Average, Netherlands, NLD
5.12136, 1934, Mar Average, Netherlands, NLD
10.0934, 1934, Apr Average, Netherlands, NLD
12.3513, 1934, May Average, Netherlands, NLD
15.5261, 1934, Jun Average, Netherlands, NLD
17.9186, 1934, Jul Average, Netherlands, NLD
16.8192, 1934, Aug Average, Netherlands, NLD
16.2591, 1934, Sep Average, Netherlands, NLD
11.3425, 1934, Oct Average, Netherlands, NLD
5.92106, 1934, Nov Average, Netherlands, NLD
7.21501, 1934, Dec Average, Netherlands, NLD
2.83065, 1935, Jan Average, Netherlands, NLD
4.33707, 1935, Feb Average, Netherlands, NLD
5.20046, 1935, Mar Average, Netherlands, NLD
7.90154, 1935, Apr Average, Netherlands, NLD
10.954, 1935, May Average, Netherlands, NLD
16.3174, 1935, Jun Average, Netherlands, NLD
17.775, 1935, Jul Average, Netherlands, NLD
17.5148, 1935, Aug Average, Netherlands, NLD
14.4062, 1935, Sep Average, Netherlands, NLD
9.83908, 1935, Oct Average, Netherlands, NLD
7.20308, 1935, Nov Average, Netherlands, NLD
3.01333, 1935, Dec Average, Netherlands, NLD
4.85394, 1936, Jan Average, Netherlands, NLD
2.27335, 1936, Feb Average, Netherlands, NLD
6.64862, 1936, Mar Average, Netherlands, NLD
6.16813, 1936, Apr Average, Netherlands, NLD
12.6801, 1936, May Average, Netherlands, NLD
16.054, 1936, Jun Average, Netherlands, NLD
16.5823, 1936, Jul Average, Netherlands, NLD
17.1737, 1936, Aug Average, Netherlands, NLD
14.364, 1936, Sep Average, Netherlands, NLD
8.74401, 1936, Oct Average, Netherlands, NLD
5.56735, 1936, Nov Average, Netherlands, NLD
3.93501, 1936, Dec Average, Netherlands, NLD
2.91432, 1937, Jan Average, Netherlands, NLD
4.70248, 1937, Feb Average, Netherlands, NLD
3.85018, 1937, Mar Average, Netherlands, NLD
8.63966, 1937, Apr Average, Netherlands, NLD
14.005, 1937, May Average, Netherlands, NLD
15.5174, 1937, Jun Average, Netherlands, NLD
16.9803, 1937, Jul Average, Netherlands, NLD
17.6903, 1937, Aug Average, Netherlands, NLD
13.8579, 1937, Sep Average, Netherlands, NLD
11.1935, 1937, Oct Average, Netherlands, NLD
5.00122, 1937, Nov Average, Netherlands, NLD
2.13168, 1937, Dec Average, Netherlands, NLD
4.1457, 1938, Jan Average, Netherlands, NLD
3.40313, 1938, Feb Average, Netherlands, NLD
8.14092, 1938, Mar Average, Netherlands, NLD
6.71669, 1938, Apr Average, Netherlands, NLD
11.1645, 1938, May Average, Netherlands, NLD
15.3869, 1938, Jun Average, Netherlands, NLD
16.3606, 1938, Jul Average, Netherlands, NLD
18.0809, 1938, Aug Average, Netherlands, NLD
15.2671, 1938, Sep Average, Netherlands, NLD
9.91527, 1938, Oct Average, Netherlands, NLD
8.91596, 1938, Nov Average, Netherlands, NLD
1.19445, 1938, Dec Average, Netherlands, NLD
4.29199, 1939, Jan Average, Netherlands, NLD
3.81237, 1939, Feb Average, Netherlands, NLD
4.75595, 1939, Mar Average, Netherlands, NLD
9.03875, 1939, Apr Average, Netherlands, NLD
11.7763, 1939, May Average, Netherlands, NLD
15.9477, 1939, Jun Average, Netherlands, NLD
16.9716, 1939, Jul Average, Netherlands, NLD
17.9038, 1939, Aug Average, Netherlands, NLD
14.9996, 1939, Sep Average, Netherlands, NLD
7.96149, 1939, Oct Average, Netherlands, NLD
7.55891, 1939, Nov Average, Netherlands, NLD
1.66066, 1939, Dec Average, Netherlands, NLD
-4.684, 1940, Jan Average, Netherlands, NLD
-0.889, 1940, Feb Average, Netherlands, NLD
5.07918, 1940, Mar Average, Netherlands, NLD
8.41908, 1940, Apr Average, Netherlands, NLD
12.9175, 1940, May Average, Netherlands, NLD
16.332, 1940, Jun Average, Netherlands, NLD
16.0933, 1940, Jul Average, Netherlands, NLD
15.4345, 1940, Aug Average, Netherlands, NLD
13.2377, 1940, Sep Average, Netherlands, NLD
8.95232, 1940, Oct Average, Netherlands, NLD
7.04139, 1940, Nov Average, Netherlands, NLD
1.32853, 1940, Dec Average, Netherlands, NLD
-2.3559, 1941, Jan Average, Netherlands, NLD
1.50824, 1941, Feb Average, Netherlands, NLD
4.97255, 1941, Mar Average, Netherlands, NLD
6.6015, 1941, Apr Average, Netherlands, NLD
9.76306, 1941, May Average, Netherlands, NLD
16.234, 1941, Jun Average, Netherlands, NLD
18.8791, 1941, Jul Average, Netherlands, NLD
15.463, 1941, Aug Average, Netherlands, NLD
14.216, 1941, Sep Average, Netherlands, NLD
9.89896, 1941, Oct Average, Netherlands, NLD
4.47131, 1941, Nov Average, Netherlands, NLD
4.78373, 1941, Dec Average, Netherlands, NLD
-4.3558, 1942, Jan Average, Netherlands, NLD
-3.5822, 1942, Feb Average, Netherlands, NLD
3.24342, 1942, Mar Average, Netherlands, NLD
8.81607, 1942, Apr Average, Netherlands, NLD
11.9829, 1942, May Average, Netherlands, NLD
14.3997, 1942, Jun Average, Netherlands, NLD
16.1191, 1942, Jul Average, Netherlands, NLD
18.1385, 1942, Aug Average, Netherlands, NLD
14.9297, 1942, Sep Average, Netherlands, NLD
12.0303, 1942, Oct Average, Netherlands, NLD
5.87311, 1942, Nov Average, Netherlands, NLD
4.8008, 1942, Dec Average, Netherlands, NLD
2.96782, 1943, Jan Average, Netherlands, NLD
4.79221, 1943, Feb Average, Netherlands, NLD
6.87543, 1943, Mar Average, Netherlands, NLD
10.2583, 1943, Apr Average, Netherlands, NLD
13.36, 1943, May Average, Netherlands, NLD
14.6134, 1943, Jun Average, Netherlands, NLD
